,Splited_Hashtags,Count
4535,#energyfortomorrow,3
1069,#saro,3
4534,#energyfortoday,3
1055,#writing,3
2994,#stereogoddess,3
1792,#bbnaijia,3
7640,#anikulapo,3
4959,#atikukawai,3
2748,#endtb,3
1821,#live,3
1023,#rescuenigeria,3
4970,#nigeriaat61,3
2729,#girls,3
1829,#media,3
1838,#obidient2023,3
4977,#62independence,3
4980,#dals,3
4493,#freshideas,3
1110,#ibank,3
249,#betterdays,3
1117,#bbnajia,3
2768,#bestofbest_bkk,3
4873,#military,3
1205,#america,3
1663,#goals,3
1664,#nigeriaisblessed,3
4589,#swipha,3
2791,#worldwide,3
1193,#happyindependanceday,3
6777,#movie,3
1184,#dividenigerianow,3
3008,#the,3
4891,#nigeria_at_62,3
3463,#hacking,3
1166,#zariarally,3
4900,#nigeriaindependentdaycelebration,3
1696,#naijaspirit,3
1697,#economy,3
1158,#repairs,3
1702,#makenigeriagreatagain,3
150,#socialmediamarketing,3
1716,#lagosians,3
1718,#auba,3
3864,#independenceday22,3
3029,#tuvalu,3
3466,#freelancers,3
3683,#thebig62,3
2665,#flyer,3
3346,#naijaloveinfo,3
2666,#flyerdesign,3
1427,#collectyourpvc,3
5213,#cctv,3
5149,#nigerianarmy,3
2620,#hiphop,3
5704,#catholictwitter,3
2082,#property,3
734,#visitnigeria,3
4293,#fertility,3
2084,#1millionmarch4obidatti,3
2617,#liverpool,3
475,#museum,3
4341,#foragreaterlagos,3
477,#icymi,3
478,#thestoryofonesky,3
3267,#startup,3
3514,#peter,3
6502,#edtechtools,3
3969,#talent,3
482,#president,3
2166,#edutwitter,3
357,#ai,3
464,#oraimoxnigeriaat62,3
463,#oraimo,3
3429,#cohfa,3
2375,#rescuemission2023,3
761,#ufcvegas61,3
559,#pollingfriday,3
8965,#lagosislandsportsmovement,3
2261,#farming,3
556,#mondaymotivation,3
2267,#cyprusindependenceday,3
3185,#building,3
550,#bbnajia7,3
3186,#home,3
359,#bemi,3
460,#party,3
397,#pulseentertainment,3
646,#house,3
2160,#endsarsmemorial,3
6501,#onlinelearning,3
2379,#nigeria61,3
2315,#angeljbsmith,3
533,#independencepromo,3
5166,#andersennigeriateamwork,3
690,#valueyourvotenaija,3
2132,#manipulation,3
2321,#batified,3
687,#lagostalks913,3
3215,#epl,3
686,#jointheconversation,3
9115,#ggmu,3
